Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Feature_65	Feature_66	Feature_67	Feature_68	Feature_69	Feature_70	Feature_71	Feature_72	Feature_73	Feature_74	Feature_75	Feature_76	Feature_77	Feature_78	Feature_79	Feature_80	Feature_81	Feature_82	Feature_83	Feature_84	Feature_85	Feature_86	Feature_87	Feature_88	Feature_89	Feature_90	Feature_91	Feature_92	Feature_93	Feature_94	Feature_95	Feature_96	Feature_97	Feature_98	Feature_99	Feature_100	Feature_101	Feature_102	Feature_103	Feature_104	Feature_105	Feature_106	Feature_107	Feature_108	Feature_109	Feature_110	Feature_111	Feature_112	Feature_113	Feature_114	Feature_115	Feature_116	Feature_117	Feature_118	Feature_119	Feature_120	Feature_121	Feature_122	Feature_123	Feature_124	Feature_125	Feature_126	Feature_127	Feature_128	Label
5T2A_B:703-709_945-949	-0.004939924	 -0.00033318764	 0.14452544	 0.88210213	 -0.0062284665	 0.32378936	 0.31872463	 0.15277825	 -0.0018550683	 0.2802021	 0.28455427	 -0.0014539927	 -0.0016440618	 -0.002580562	 -0.0034341407	 -0.00013131315	 0.42489335	 -0.006957485	 0.04504589	 -0.008069373	 -0.005067609	 -0.004523662	 0.30319464	 0.7204814	 -0.005595646	 0.45577836	 0.272223	 0.9365672	 0.49544472	 0.4738236	 -0.003867625	 0.43346584	 0.46259165	 -0.003943079	 -0.0038097762	 -0.0024314863	 -0.005536591	 -0.0036544823	 -0.00023910317	 -0.006050857	 0.7694338	 -0.0039830715	 -0.0018247287	 -0.0012125872	 -0.00042122966	 0.25254166	 0.29080546	 -0.0030046266	 -0.0024992828	 -0.00010947136	 0.9181096	 0.44018525	 -0.0010717389	 -2.5613745e-05	 0.297533	 0.19633353	 0.1663954	 0.57158786	 0.7305829	 -0.009652038	 0.46759787	 -0.00093820796	 0.11062283	 0.18667841	 -0.009877421	 -0.0039981594	 -0.0043623857	 0.41658965	 0.46659002	 -0.003583955	 -0.0008380173	 -0.0035545889	 -0.0021033525	 -0.0014550758	 -0.006236036	 0.39630094	 0.62776023	 -0.0032818192	 0.4333928	 0.087099984	 -0.0049417308	 0.86200094	 0.14312433	 -0.0057988935	 1.006814	 0.13594116	 -0.003568673	 0.30160725	 0.060036913	 -0.003442617	 0.7969469	 -0.0043878797	 -0.0006057265	 0.77032644	 0.16572489	 0.47955272	 -0.0059833047	 -0.004616848	 0.3563869	 0.70287496	 0.3433998	 1.0131254	 0.11583149	 0.3329537	 0.14918603	 -0.0033065146	 0.04843954	 -0.00022081439	 0.4028841	 -0.0018192598	 0.5348814	 0.25685588	 -0.0014527724	 -0.014890497	 -0.00010276039	 0.11492644	 -0.0041448637	 0.6172782	 -0.0061958674	 -0.004784197	 0.7230609	 -0.00270527	 0.5068115	 0.28934327	 0.7927858	 0.9030149	 -0.00064159936	 -0.00061813265	IL
4IOA_X:2615-2619_2754-2762	-0.0052614217	 -0.011519709	 -0.002678241	 0.39166632	 -0.0083328085	 0.38740772	 0.4478436	 -0.0029081653	 -0.002714847	 0.64853674	 0.66744375	 -0.007833621	 -0.00784263	 1.5602807	 0.9867328	 0.104475826	 0.16060281	 0.13483268	 1.1235723	 -0.0089852875	 0.02874487	 -0.007373295	 -0.003709356	 1.1090235	 -0.00072742096	 -0.0019962692	 -0.0083773425	 0.008273314	 -3.8368387e-05	 0.39592803	 -0.0049300976	 0.29447055	 -0.0016247196	 -0.011832858	 -0.0045507653	 0.8760785	 0.72445476	 0.15321688	 -0.0031670807	 -0.004275026	 0.80113393	 1.030721	 0.056721456	 -0.0034679975	 -0.006340095	 0.036681987	 0.16276814	 -0.005120621	 0.59497666	 -0.0011560969	 0.55021507	 -0.007601726	 0.48507693	 -0.006214149	 0.51675373	 1.0687153	 -0.002254445	 0.26427835	 0.10877478	 0.14160903	 0.93181115	 -0.0038034217	 -0.0074963006	 0.20364591	 -0.0078747505	 0.41847262	 0.054554723	 -0.000980036	 0.2684523	 0.12201546	 1.0357416	 0.32203665	 0.640494	 -0.008550131	 -0.005175452	 -0.010883806	 -0.0042156456	 0.08495249	 0.42235985	 0.6719842	 -0.006133661	 0.23428187	 0.51460683	 -0.002325047	 -0.003255236	 -0.009311813	 0.092744194	 0.14714992	 -0.0009540176	 -0.00019641872	 0.5155449	 0.5718865	 -0.0033799512	 -0.006073191	 -0.0038513374	 0.06461892	 -0.0037993875	 -0.0056486307	 -0.0052379523	 -0.007112938	 -0.0056471187	 0.5541357	 -0.0036324156	 0.8975047	 0.73367876	 0.1665141	 1.0731267	 0.71352965	 0.7025608	 -0.0036291943	 0.9563571	 -0.00079822564	 -0.0062873643	 0.42489257	 -0.0070114145	 0.053369906	 -0.0002534064	 -0.0010102665	 -0.0010835854	 0.38434216	 0.81995445	 0.22036001	 -0.008968426	 -0.0007870969	 0.30026153	 -0.0040004323	 -0.0065276544	 0.29890665	IL
4W29_AX:49-51_63-65	-0.002006262	 1.3964849	 -0.0036246744	 -0.006499331	 0.04401855	 -0.009046611	 0.0026050871	 -0.0029714706	 -8.2195045e-05	 0.15908645	 -0.0035112666	 1.0269887	 0.43244457	 -0.011058139	 -0.012968268	 0.13923846	 0.4655366	 -0.009933564	 -0.008529803	 -0.0078019626	 0.4558652	 -0.0036677807	 -0.0013672695	 -0.006971551	 -0.0006753616	 -0.0005770163	 0.65569144	 0.9236926	 0.20834899	 0.93860996	 -0.00028466288	 -0.0024900453	 0.17516139	 0.6584635	 -0.0044086105	 -0.006188779	 -0.0055890703	 -0.0025085085	 -0.004234266	 -0.008141743	 -0.009541924	 -0.00986241	 -0.0045568566	 -0.0063488674	 0.095314935	 0.02329832	 0.23164338	 -0.0030240708	 -0.0016717497	 -0.0030416586	 -0.0010708886	 1.1571807	 0.13548811	 0.31147054	 0.4998336	 0.057303224	 -0.001960197	 0.90437627	 1.1830157	 -0.004149173	 -0.0019106852	 0.5423753	 0.08408483	 -0.0020583426	 -0.008146194	 -0.0075522754	 0.41742116	 0.83321977	 0.60475755	 -0.0047983597	 -0.008391821	 -0.0011934281	 -0.0026787478	 0.6810112	 -0.0005115041	 0.7309909	 0.68640083	 -0.0046756524	 0.44959584	 -0.0063994653	 0.32045913	 -0.0035196843	 -0.0060932743	 -0.0022853515	 0.9135296	 0.09675779	 -0.004685769	 -0.008953883	 0.39697778	 -0.0075256513	 0.33523944	 -0.0056099305	 0.8822796	 0.57121366	 0.21207976	 -0.006113136	 -0.0077794897	 -0.011185695	 -0.00016186293	 1.267473	 1.6306196	 -0.0048150327	 0.65822405	 0.3982225	 0.20295721	 -0.0044771964	 -0.005052026	 0.2638522	 -0.0072241467	 0.056193985	 0.36916992	 0.1539175	 0.11991079	 -0.0048661996	 0.7309023	 0.11017816	 0.07138696	 0.20241667	 -0.0077332305	 -0.0007017022	 0.2971776	 0.14814703	 1.0538443	 0.17430848	 -0.0037952717	 0.35916469	 -0.005190266	 0.088183165	IL
5XXB_1:2946-2950_2960-2964	-0.009790859	 0.5789361	 0.949682	 -0.009818434	 0.11462389	 -0.005005898	 0.68970305	 -0.005346975	 -0.004756536	 -0.008012043	 0.66036445	 -0.0023500912	 -0.0059889834	 -0.0022394173	 -0.013369734	 0.19224173	 -0.0014974513	 -0.007402578	 -0.0037498667	 0.63597685	 0.49596143	 -0.004463745	 -0.0021706182	 0.13064383	 0.03322962	 -5.0977786e-05	 0.907335	 0.89294726	 -0.00031802754	 -0.0007197059	 0.6148798	 0.13753203	 -0.0023423699	 0.19492278	 -0.0029908642	 -0.00086577673	 -0.006590635	 -0.004065237	 1.2036301	 -0.0047174827	 -0.0063137966	 -0.0028116156	 -0.007411418	 -0.0007427907	 -0.004382712	 0.10459237	 0.504238	 0.54566514	 -0.0063160895	 0.03170065	 0.24727577	 0.5457579	 0.3751739	 0.7324091	 -0.000708266	 -0.0037725356	 -0.0063427035	 0.13297966	 -0.0012124665	 0.30452266	 0.01619398	 -0.0057372777	 -0.0051738606	 -0.0002599844	 -0.007342556	 -0.008713524	 0.31623414	 0.31126082	 -0.0004095781	 0.40168542	 -0.0058805556	 0.3196718	 0.27481043	 0.13504118	 0.2261445	 0.7411399	 0.42876408	 -0.0056576408	 -0.0083376905	 0.413357	 0.28135282	 0.1434454	 -0.00975234	 -0.0029683942	 0.81187505	 0.41955763	 -0.007008348	 -0.003084203	 0.14965254	 -0.0016791483	 1.1655684	 -0.0035285673	 0.592757	 0.29565725	 -0.0011422748	 -0.00033335027	 -0.0005806238	 -0.0012014271	 0.33346608	 0.8520052	 0.70947754	 0.926699	 0.055672392	 -0.0037177028	 0.09107207	 0.05102831	 -0.0077255345	 -0.0040476825	 -0.0003607524	 -8.794179e-05	 -0.00010170132	 -0.0018695829	 -0.00014312481	 -0.0050955247	 0.4253773	 -0.008219015	 0.07818883	 -0.002631641	 -0.006688819	 -0.009595413	 1.004353	 -0.0031542096	 0.73772806	 -0.0053314036	 0.031565614	 0.009943649	 -0.0021243908	 0.24729939	IL
3J7Q_5:1431-1434_1450-1453	-0.010745494	 1.1647801	 0.5013378	 -0.0076129804	 0.38036233	 -0.008558216	 0.45681152	 -0.0053051966	 -0.002025874	 -0.0052782465	 -0.00041106317	 0.5766805	 -0.0032783204	 -0.008573523	 -0.015647504	 0.08768	 0.42190415	 -0.009973979	 -0.011384191	 -0.0010831552	 0.69027513	 -0.00459244	 -0.003400955	 -0.0014188573	 -0.0011007458	 0.0020665834	 0.6840192	 0.75653255	 0.009176764	 0.43929482	 0.6017007	 0.37518972	 -0.004652503	 0.12407922	 -0.008060539	 -0.0037635553	 -0.0067379368	 -0.0042068623	 0.7905728	 -0.011846832	 -0.0073434156	 -0.007921938	 -0.008019759	 -0.005812285	 -0.0020356907	 -0.0002160954	 0.6180035	 0.13517267	 -0.004555756	 -0.003411523	 0.00596219	 0.79260254	 0.56307817	 0.90383595	 0.17501107	 -0.0070722895	 -0.0036930551	 0.3850484	 0.8252712	 0.15721507	 0.24876915	 -0.0011710961	 -0.00322694	 -0.0031963838	 -0.009640598	 -0.004989622	 0.3775109	 0.7743635	 0.20534608	 0.12078968	 -0.007694799	 0.013714113	 -0.0007689179	 0.15034193	 0.15299176	 0.5986543	 0.68979025	 -0.0054470194	 -0.00534661	 -0.0006409467	 0.22357151	 -0.0034567707	 -0.0099345725	 -0.0045902897	 0.99519736	 0.38665673	 -0.0073289364	 -0.005839882	 0.32226545	 -0.0069951736	 0.738011	 -0.006850845	 0.5939234	 0.7478681	 0.017727755	 -0.0029767477	 -0.004785959	 -0.009184304	 0.5207302	 1.6225332	 1.1053017	 0.15335101	 0.23003744	 0.20900564	 0.31349897	 -0.0014199112	 -0.009760077	 -0.0055450858	 -0.005193698	 0.097617656	 0.5933717	 0.34617674	 -0.0043682377	 -0.0069585815	 0.5865227	 -0.004729422	 -0.0027638471	 0.26493248	 -0.009420783	 -0.0058225403	 0.9811247	 -0.0020457963	 1.2780392	 -0.0023914617	 -0.0012189441	 0.464711	 -0.005374214	 0.12612131	IL
5XXU_2:311-316_348-355	-0.0065630446	 -0.0016063096	 0.22700083	 -0.0011381009	 -0.003869675	 -0.005052328	 1.3214606	 -0.006327871	 -0.0068526748	 -0.0005354816	 0.93571866	 -0.0058434783	 -0.012149771	 1.2325042	 -0.0069542397	 0.5619885	 -0.0034450453	 -0.009978159	 -0.0005783806	 -0.008345397	 0.257766	 -0.008079543	 -0.00686345	 1.3347815	 0.0019763457	 -0.000416417	 -0.002168546	 1.0345627	 0.5125442	 0.1240919	 0.16002558	 0.54581314	 -0.0056896005	 -0.01207895	 -0.0010045032	 0.19998407	 -0.00141114	 -0.0034803078	 0.7270597	 -0.007178705	 1.1585772	 0.84250665	 -0.0071678087	 0.47542498	 -0.0047689313	 -0.0020435299	 0.48488158	 0.7104329	 -0.002270895	 -0.004738624	 0.3508341	 -0.0027803963	 0.45868695	 -0.0010903669	 0.45313165	 0.31587625	 -0.004499395	 -0.002608187	 -0.0035099648	 0.21072313	 0.49128693	 -0.010336813	 -0.011421681	 0.12332527	 -0.013876281	 -0.0037058492	 0.38538256	 0.39879274	 -0.004482267	 0.16499998	 0.3127229	 0.087872826	 0.13796076	 -0.0068083745	 0.45420563	 0.21104504	 -0.0010591438	 -0.006064647	 -0.004159714	 0.62834424	 -0.0066159302	 -0.00085685	 -0.0038854578	 -0.008944169	 0.30448717	 0.16319738	 -0.011016616	 0.26088026	 -4.989347e-05	 -0.00095685385	 0.7840433	 -0.0015849068	 -2.7709417e-05	 0.58773696	 -0.006485263	 -0.0010578877	 -0.0016378671	 -0.008767059	 0.30867755	 0.66725624	 -0.0044306596	 0.94622	 -0.0007000971	 0.19616252	 0.38875404	 0.27442846	 -0.00042912978	 -0.0033765568	 0.33701828	 0.06600451	 0.9824028	 0.07219365	 -0.0069971425	 -0.0014979498	 -0.0019168685	 -0.0069435686	 0.120722115	 0.034106873	 -0.007898802	 -0.0030720637	 1.5172946	 -0.008024648	 0.8325299	 -0.0065889508	 0.4400708	 -0.004219594	 -0.00020566929	 0.59276336	IL
6FYY_2:58-63_87-89	-0.004057493	 0.68047947	 0.4310635	 0.06395253	 0.5509042	 -0.005904777	 -0.001035717	 -0.003466003	 -0.0048616296	 -0.0029641155	 -0.0033944563	 0.4284081	 -0.0040859724	 0.119372696	 -0.002899531	 -0.0017480938	 0.5545382	 -0.007951905	 -0.005859016	 -0.0047510318	 0.38871676	 -0.0010484782	 -0.004050306	 -0.0020419816	 -0.000744071	 -0.0017664646	 0.3424364	 0.5529759	 0.59159964	 0.29772553	 0.092211716	 -0.0019747212	 -0.002517981	 0.19876686	 -0.007343966	 -0.0010159037	 -0.0062485547	 0.33349904	 0.33244365	 -0.0071412483	 0.11057295	 -0.0035529537	 -0.005125478	 -0.0094607705	 0.057603218	 -0.0018419155	 0.09668808	 -0.00163522	 -0.004989891	 -0.0011712754	 -0.00012212562	 1.0917604	 -0.0018999692	 -0.001976601	 0.6657209	 -0.0024040975	 -0.001539733	 0.61560327	 0.37982148	 -0.005346838	 0.39615428	 -0.00019699361	 -0.0030846642	 0.4282504	 -0.006034372	 -0.009042095	 0.15802287	 -0.00069684675	 0.09197419	 0.35763007	 0.08455107	 0.119925074	 -0.0034947295	 -0.0011361316	 -0.0008185652	 0.4349751	 0.5884123	 -0.008550754	 -0.0023590303	 -0.00111037	 0.14716451	 0.025216062	 -0.0043735746	 -0.0075124544	 1.0655197	 0.20066555	 -0.0042344043	 -0.007914781	 0.8255241	 -0.00067421	 0.4006211	 -0.003902048	 0.15788814	 0.13789886	 0.10745011	 0.29384118	 0.025516199	 -0.008065314	 0.4170218	 0.93749374	 0.85296184	 0.37704104	 0.06999845	 0.044356458	 -0.0010326375	 -0.0021888611	 -0.0033465289	 -0.004346554	 -0.0019432053	 -0.0016639172	 0.5883825	 0.6223528	 0.29322496	 -0.009603498	 0.6799381	 0.16451268	 -0.0067577567	 0.20951924	 -0.00969565	 0.06720243	 0.82202363	 -0.0012134436	 0.3201079	 -0.0038045447	 0.06606676	 0.42436287	 0.22480538	 -0.0011140272	IL
4Y4O_2A:2522-2523_2540-2543	-0.004511352	 1.5158584	 -0.00035820543	 -0.005805488	 0.8385433	 -0.0072398568	 -0.002825393	 -0.003743598	 -0.006833435	 -0.0007417798	 -0.005895483	 1.0926492	 0.6561294	 -0.009192599	 -0.0105589675	 -0.0029092983	 0.50581944	 -0.008345007	 -0.008289123	 -0.005675576	 0.61052245	 -0.004065125	 -0.0016487038	 -0.012790115	 -0.0033237042	 -0.0015652489	 0.7279005	 0.41099757	 0.18035357	 0.618819	 -0.0016692335	 -0.006398495	 -0.0012098096	 1.1138806	 -0.005146685	 -0.004275692	 -0.007739008	 0.051801763	 -0.0017244803	 -0.0064522466	 -0.007310298	 -0.007512147	 -0.003959004	 -0.007315427	 0.3923042	 -0.0034399112	 -0.00029265927	 -0.0017525033	 -0.0018354648	 -0.0042002997	 -0.0032932563	 1.5379514	 -0.002468125	 -0.00074225507	 0.85455453	 -0.0022188143	 -0.003956455	 1.028025	 0.7396455	 -0.0036905578	 -0.0029371097	 0.6016288	 0.0488764	 0.34883958	 -0.0051769507	 -0.006562932	 0.28489646	 0.46227568	 0.27753162	 -0.0025174187	 -0.0077675413	 0.04430997	 -0.0034800004	 0.7190647	 -0.0020083922	 0.55022085	 0.57034314	 -0.006011607	 0.12152003	 -0.0060609523	 0.5229786	 -0.0046574897	 -0.0064520864	 -0.0011759443	 1.3733395	 -0.0009976069	 -0.006182899	 -0.01420197	 0.7384697	 -0.0063458076	 0.63462347	 -0.006523565	 0.75800425	 0.121589735	 0.15470964	 -0.004919384	 -0.003133667	 -0.009800615	 -0.00033922453	 1.2541337	 1.7133259	 -0.004771336	 0.8839271	 0.09940256	 -0.00079617044	 -0.0041999216	 -0.0054558706	 -0.0013013893	 -0.0076663527	 -0.0025937865	 0.2444359	 0.23399499	 0.4679111	 -0.008870124	 1.0037065	 0.28670192	 -0.0037270926	 0.26976612	 -0.008011901	 -0.0023771601	 0.27546576	 0.066431	 0.679783	 -0.0026602652	 -0.0046162135	 0.3489807	 -0.004250358	 -0.00034052413	IL
5XY3_1:2291-2295_2305-2309	-0.011113891	 0.7930878	 0.95184374	 -0.004337238	 0.19533633	 -0.0035098153	 0.5162998	 -0.0031079398	 -0.008041661	 -0.005923643	 0.79424447	 -0.0002497592	 -0.0025397788	 -8.862432e-05	 -0.007500034	 -0.0043961597	 0.07920868	 -0.008569719	 -0.00031766947	 0.2935911	 0.7184725	 -0.0044981325	 -0.0025323906	 -0.0034350103	 0.1375239	 -0.0029114224	 0.3057792	 0.18262196	 -0.0031116416	 -0.0029788765	 0.6865644	 -0.0007448924	 -0.0051626596	 0.04255428	 -0.0040545613	 0.42131308	 -0.0053626103	 0.02402166	 1.1956483	 -0.0058452534	 -0.0012562998	 -0.0023788123	 -0.0077471104	 -0.006406502	 -0.0027775525	 0.25027412	 0.32381397	 0.21244687	 -0.006142129	 -0.00087609194	 0.118151665	 0.7661338	 -0.00041786252	 0.1017376	 0.0779849	 -0.00459255	 -0.0067374674	 0.16925749	 -0.0018608721	 0.2555287	 0.029199647	 -0.0037073668	 -0.0022010857	 0.4445055	 -0.0049175783	 -0.006851601	 0.32975844	 -0.00013942464	 -0.0011360014	 0.7810599	 0.074859634	 0.58210486	 -0.0006280405	 0.1072634	 -0.001993037	 0.47042266	 0.25353462	 -0.0024550236	 -0.005896354	 0.47115004	 0.21453293	 -0.0021320435	 -0.010921325	 -0.003769236	 0.93116456	 0.36731023	 -0.008822053	 -0.006427533	 0.58952403	 -4.9662776e-06	 1.2234157	 -0.0046081836	 0.5464198	 -0.00072479976	 -0.0030899402	 0.32574263	 0.13607143	 -0.0041835676	 -2.858457e-05	 0.8036568	 0.46639842	 0.6644486	 0.1830193	 -0.003007018	 -0.00246676	 0.029025668	 -0.0029870202	 -0.0065768394	 -2.09373e-05	 -0.002049972	 0.61794823	 0.17743027	 0.0064243167	 -0.008884808	 0.55464375	 -0.005077829	 -0.004338243	 -0.001868906	 -0.008607202	 -0.0063663805	 1.3028278	 -0.0036371904	 0.23219569	 -0.006272032	 -0.00017698284	 0.23177972	 -0.0021672125	 0.32140595	IL
6GAW_BA:929-940_956-959	-0.008040619	 0.23234227	 0.2952484	 -0.0027251034	 -0.015029938	 -0.0032914176	 1.0316324	 -0.01674227	 0.22253568	 -0.0028060302	 1.2158055	 -0.010211763	 -0.009219069	 0.06602912	 -0.012444156	 1.1849394	 -0.009085199	 -0.015854552	 -0.0077287774	 -0.002156893	 1.012204	 0.30671957	 0.15855443	 2.8950691	 -0.004303175	 0.18317638	 0.18792997	 1.9155425	 -0.0019759317	 0.38865054	 2.07469	 1.9971739	 -0.0021615303	 -0.009564146	 -0.0046283477	 -0.0025013846	 -0.006557842	 0.08821803	 1.7759103	 -0.00037265502	 -0.0026740553	 0.07950315	 -0.010949863	 1.0553703	 -0.007442616	 1.0407536	 0.47590718	 0.1633574	 0.080447435	 -0.003641928	 0.035184965	 -0.015418387	 0.43215352	 1.4355645	 0.98236954	 0.41516456	 -0.00042776018	 -0.0071555986	 0.023009688	 -0.0016390636	 -0.0019004401	 -0.021774705	 -0.027233934	 -0.0019462717	 -0.019541495	 -0.010139258	 0.3962349	 0.17002259	 -0.012014833	 -0.0068206657	 -0.010526214	 -0.009579918	 0.46665022	 -0.010871964	 1.5042368	 1.8640183	 0.036169164	 -0.0058709807	 -0.0102924	 -0.0018787488	 0.17446074	 0.41887507	 -0.005196097	 -0.0066125933	 0.012570168	 0.865348	 -0.01011184	 3.086554	 -0.016231762	 1.4382223	 0.34098965	 0.37602398	 -2.858214e-05	 1.1527437	 -0.0017036655	 0.24794573	 -0.0002416929	 -0.007193828	 0.93458635	 0.7947363	 -0.012633287	 1.3722894	 -0.009228212	 0.59547335	 -0.0012090985	 0.494723	 -0.0045016417	 0.3397577	 -0.0028218492	 0.45094916	 0.39281154	 0.68492126	 -0.009150454	 1.0184691	 -0.008649596	 -0.007461193	 1.7586515	 -0.004097832	 -0.0059480728	 -0.0011058712	 0.045471657	 -0.006169732	 2.0354517	 0.84012234	 1.1550984	 0.07212758	 0.38440168	 0.70968634	IL
