Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Feature_65	Feature_66	Feature_67	Feature_68	Feature_69	Feature_70	Feature_71	Feature_72	Feature_73	Feature_74	Feature_75	Feature_76	Feature_77	Feature_78	Feature_79	Feature_80	Feature_81	Feature_82	Feature_83	Feature_84	Feature_85	Feature_86	Feature_87	Feature_88	Feature_89	Feature_90	Feature_91	Feature_92	Feature_93	Feature_94	Feature_95	Feature_96	Feature_97	Feature_98	Feature_99	Feature_100	Feature_101	Feature_102	Feature_103	Feature_104	Feature_105	Feature_106	Feature_107	Feature_108	Feature_109	Feature_110	Feature_111	Feature_112	Feature_113	Feature_114	Feature_115	Feature_116	Feature_117	Feature_118	Feature_119	Feature_120	Feature_121	Feature_122	Feature_123	Feature_124	Feature_125	Feature_126	Feature_127	Feature_128	Family_label	Cluster_id
5T2A_B:703-709_945-949	2.272004	2.389133	0.211394	2.45132	0.786774	-0.006275	-0.007183	-0.00106	-0.023281	3.108212	-0.013926	-0.001062	-0.018102	-0.00486	0.553909	-0.003719	1.111336	3.859192	-0.006086	2.573412	0.415947	2.213431	1.248327	-0.000714	-0.003262	-0.007995	-0.007818	2.834947	-0.020295	2.349104	0.890449	0.213375	-0.015349	-0.002105	-0.007316	-0.00637	0.1869	0.952055	2.808088	3.21554	-0.018924	2.58509	2.752069	-0.006491	0.253327	-0.003984	-0.002577	0.497172	1.282889	0.973723	-0.007044	-0.021611	-0.000723	0.928541	-0.007409	-0.028376	0.792596	0.132961	-0.004215	-0.013177	-0.000398	5.503418	0.69349	1.011301	2.820193	-0.000715	-0.002923	0.069597	3.144988	0.660037	1.343395	-0.017861	-0.000239	-0.008166	-0.004375	-0.02948	2.435182	0.546828	2.231689	1.634469	1.264057	0.868476	-0.01058	-0.027374	0.55094	0.40859	-0.00951	-0.002314	3.71883	0.092833	-0.007142	1.72864	0.052927	-0.002547	-0.008498	-0.000407	-0.001901	-0.008265	1.483491	-0.020786	-0.006469	-0.009039	-0.007955	-0.030165	0.014129	-0.004715	3.027491	2.401308	-0.003626	0.972392	0.107997	1.150249	-0.012841	-0.008427	-0.01363	1.137681	0.446697	-0.007085	-0.009503	-0.013146	0.924596	0.669823	-0.017629	3.491819	0.514582	3.402725	-0.006664	-0.019827	IL	27
4IOA_X:2614-2618_2753-2761	2.24236	2.2916	-0.008418	2.401603	-0.004382	0.291697	-0.003235	-0.003106	-0.013734	2.403657	-0.002282	1.39412	-0.007242	-0.000214	-0.010996	-0.017822	2.139595	2.418639	-0.018309	2.00392	1.495322	1.327913	-0.005523	-0.017346	-0.009799	-0.01862	-0.007512	4.510473	-0.006846	1.402307	1.284079	0.557731	0.493911	-0.014221	0.602426	-0.021927	0.909606	-0.001252	2.5158	4.215288	-0.021526	2.48224	2.852389	-0.006648	0.076976	-0.011185	-0.002581	1.068467	0.811271	-0.007744	-0.014515	-0.002372	0.459305	-0.012236	-0.006454	-0.017043	-0.00015	0.019465	0.425217	-0.009208	0.115424	3.628586	0.410516	0.013634	0.392764	1.375528	-0.003265	1.57628	2.361596	1.622817	1.674194	-0.018078	-0.002797	-0.015369	-0.00165	-0.022493	1.213601	0.298044	1.534988	1.725144	-0.007842	1.749782	-0.002177	-0.025315	1.274771	1.672997	-0.018882	-0.016736	1.753068	0.372757	0.345122	2.711041	-0.008699	0.390226	-0.019285	0.991516	0.407975	-0.020145	0.633408	-0.008235	-0.008413	-0.001132	0.539573	-0.006412	0.046289	0.459842	2.438165	0.778381	-0.009642	0.100843	0.521086	0.589176	-0.017107	0.220335	-0.001578	1.359937	0.348842	-0.019922	-0.014333	-0.006708	0.460241	0.390875	0.460766	1.991841	1.228633	2.434822	-0.01969	-0.023363	IL	67
4W29_AX:48-50_62-64	-0.014406	0.082654	0.470655	-0.045757	-0.017668	0.190962	2.132296	-0.007393	0.158949	-0.027989	-0.004304	-0.000063	0.272807	0.105396	0.355647	-0.009131	-0.011962	-0.008909	-0.038039	-0.008993	0.699829	0.540346	-0.00369	0.403854	-0.007001	-0.00993	-0.012117	-0.03669	-0.033389	-0.006174	-0.003407	-0.007523	0.667686	2.071563	-0.00424	-0.008573	0.354866	-0.039532	-0.00865	-0.038104	3.737711	-0.000129	-0.054459	2.304978	2.344234	0.780874	1.571917	1.733472	-0.010308	-0.025399	2.071689	0.586391	1.260696	-0.007392	-0.002433	-0.00525	-0.005528	0.227115	2.495125	0.628636	-0.000648	0.549856	-0.015476	1.030878	-0.017058	1.441144	0.985428	1.568078	-0.017881	-0.011336	0.874139	-0.030119	-0.016627	-0.004254	-0.01728	4.657343	-0.021273	-0.01192	0.033318	1.147407	-0.005589	1.614072	-0.02532	2.671215	2.013668	1.28011	-0.011007	-0.00527	-0.001092	1.07448	0.12384	2.036793	-0.024585	2.442055	-0.011097	3.187074	2.269119	-0.00285	-0.00574	2.78604	-0.016102	-0.019407	-0.002517	-0.006752	1.628783	2.400126	-0.02496	-0.016497	-0.012631	0.399122	1.567958	2.444048	0.016517	-0.014531	-0.001338	-0.012836	-0.017452	-0.012135	-0.009546	0.665182	-0.018184	0.219857	4.475508	-0.052748	-0.00913	-0.015207	-0.032461	-0.008628	IL	266
6HA1_A:1826-1832_1841-1849	3.0677	3.494875	0.331636	3.153893	0.230202	0.900675	-0.005142	0.767846	-0.029173	4.638927	0.691141	1.561265	0.760002	-0.015939	-0.01216	-0.019503	2.500281	4.562809	-0.021383	3.660418	2.940681	2.459603	0.688336	-0.012597	-0.008325	-0.012249	0.519642	4.110914	-0.012291	2.314144	1.109724	1.501204	1.677932	-0.021551	0.696471	-0.022964	1.620897	-0.006444	4.386706	4.006702	-0.017073	4.230343	4.095314	-0.018597	0.733561	-0.008592	-0.012189	1.573196	0.2644	-0.02122	-0.008889	-0.012074	0.238605	-0.001127	-0.008135	-0.015785	-0.004199	-0.017005	1.493411	-0.00819	-0.007596	5.745163	0.544468	0.120146	0.253867	1.920438	-0.005672	1.76192	3.752019	1.392645	1.700191	-0.040073	-0.006379	-0.015838	-0.011976	-0.034033	3.054117	-0.001581	0.049093	0.237391	-0.006372	1.601106	-0.015426	-0.0233	1.329341	4.036687	-0.017772	-0.007932	2.71374	-0.000599	-0.012019	2.500598	-0.01601	-0.00088	-0.005449	0.885871	-0.000226	-0.009767	1.280786	-0.013663	-0.016775	-0.011116	1.244096	-0.015454	0.338603	0.744479	1.324086	0.78705	-0.013787	1.316423	-0.000811	1.514805	-0.021689	0.290467	0.041893	1.836845	0.23522	-0.031511	-0.003107	-0.011043	0.007535	0.934933	0.007428	2.685471	0.353764	4.623533	-0.018349	-0.037274	IL	342
3J9M_AA:560-561_707-709	-0.026235	-0.007005	-0.007996	-0.04855	-0.018596	-0.007316	2.882493	-0.010292	0.118227	-0.041977	1.281179	-0.000541	1.258548	0.135983	0.237613	-0.010647	0.031047	-0.023913	-0.042979	-0.019348	-0.003174	1.019408	-0.003104	-0.00924	0.106252	-0.004796	-0.017591	-0.056452	-0.02099	-0.009406	-0.006866	-0.015571	1.235649	3.050781	-0.007515	0.140522	0.5572	-0.042542	-0.013664	-0.051122	4.951842	-0.012354	-0.076836	1.964824	4.536393	-0.002169	3.138064	2.423895	-0.018354	-0.031242	2.301407	2.559212	1.172239	0.111615	0.0551	0.113712	-0.001803	-0.000336	4.554396	0.867823	0.564541	0.287489	-0.000038	0.007157	-0.035539	3.271513	3.159332	2.026853	-0.032154	-0.019807	0.433928	-0.039714	-0.012372	1.374142	-0.014338	5.76708	-0.022698	-0.013363	-0.001332	-0.002873	-0.002072	2.258583	-0.030359	2.167582	3.995398	1.875852	-0.014537	0.393264	-0.019948	1.264811	-0.004192	1.259627	-0.026184	2.120624	-0.00237	6.980907	1.570737	-0.006129	-0.018143	4.054843	-0.02436	-0.022927	-0.004732	-0.001753	4.185324	4.512808	-0.043484	-0.02915	-0.007169	2.764653	2.013458	1.322694	0.318519	-0.015286	-0.000362	-0.021951	-0.015445	-0.00322	-0.001763	2.342214	-0.020649	-0.000887	5.949082	-0.073202	-0.018051	-0.022504	-0.038231	-0.002165	IL	142
3J7Q_5:2311-2314_2632-2633	-0.022384	0.380806	0.387793	-0.059987	-0.017476	0.312601	2.538285	-0.008985	1.501095	-0.036286	0.4885	-0.007354	0.682549	0.475001	-0.003292	0.094576	0.2198	-0.019769	-0.038297	-0.016133	0.327378	0.653008	1.096529	0.003762	-0.007258	0.567684	-0.00656	-0.054825	-0.023702	-0.005847	0.029053	0.895715	1.249745	2.794419	-0.011014	-0.008687	0.281307	-0.047591	-0.005044	-0.051485	4.190462	-0.001132	-0.075294	2.030693	2.103758	1.112775	2.656937	1.180926	-0.017926	-0.026897	1.883217	1.573438	1.49837	0.958163	0.911904	-0.012913	-0.005135	0.855333	3.524387	0.997215	0.096122	-0.001413	-0.007864	0.764716	-0.029369	1.092158	1.302612	1.913558	-0.024279	-0.012068	1.034705	-0.029152	-0.010063	-0.00022	-0.010324	5.732883	-0.021799	-0.014075	0.241214	0.267625	-0.009441	1.356666	-0.025425	1.878729	2.875634	0.755847	-0.014927	-0.004275	-0.022672	1.427287	-0.004861	1.423561	-0.018627	2.147666	-0.002015	5.256589	1.796049	0.298458	-0.013349	3.193516	-0.01844	-0.021945	0.524178	-0.006034	1.811173	3.953373	-0.041509	-0.026135	-0.003211	0.25656	2.85874	2.317889	1.123092	-0.00936	0.053338	-0.023058	-0.016205	-0.013381	-0.010472	1.489352	-0.024811	-0.001818	5.487667	-0.07424	-0.013807	-0.023808	-0.030357	-0.004579	IL	7
3CZW_X:6-8_9-11	-0.01706	0.706426	1.016733	-0.055819	-0.023224	0.951523	2.173465	0.50104	-0.001844	-0.031102	-0.006472	-0.00745	0.6458	-0.000634	0.009392	0.724835	-0.012843	-0.012637	-0.031631	-0.015902	1.388217	-0.000813	0.395296	1.213734	0.113151	0.977962	-0.000613	-0.048485	-0.030878	-0.006423	-0.009772	0.745272	1.127093	2.436109	-0.011014	-0.004995	0.196968	-0.05182	-0.015031	-0.054296	5.279651	0.362138	-0.060578	2.494097	2.941149	0.553065	2.320524	1.609086	-0.017376	-0.024337	3.385601	-0.001363	0.945554	0.723337	0.400439	-0.013204	-0.008145	0.581925	2.624614	0.009617	-0.001786	0.28973	-0.010144	2.118531	-0.011876	1.37773	1.197325	1.447103	-0.014136	-0.016263	1.026203	-0.041113	-0.019005	1.084956	-0.019454	4.919891	-0.018513	-0.017268	-0.002336	-0.001805	0.401399	1.31154	-0.023728	2.974299	1.907275	0.929114	-0.009959	0.245649	-0.011665	1.090735	-0.004041	1.502341	-0.024989	2.663968	-0.004246	3.918919	1.003083	-0.000838	-0.013951	2.650045	-0.017636	-0.026795	-0.003944	-0.016551	2.07421	2.871459	-0.039947	-0.015075	-0.014637	0.883977	1.161445	3.256578	-0.001949	-0.019689	-0.000847	-0.009729	-0.020481	-0.001622	-0.011846	0.929051	-0.018457	0.048387	4.681166	-0.062154	-0.014822	-0.019257	-0.022777	-0.010855	IL	362
6AZ1_1:1462-1469_1480-1485	1.025381	1.767263	-0.000874	4.250228	0.959265	-0.010347	-0.011105	-0.000073	-0.0292	6.215745	-0.027265	-0.002389	-0.013472	-0.029178	-0.005683	-0.009563	0.170787	3.034826	-0.003459	2.277191	0.990928	2.963079	0.902072	-0.007565	0.068158	-0.023793	-0.005314	4.652977	-0.008058	1.975513	-0.000659	1.38082	-0.012775	-0.033188	0.232958	0.086423	-0.004006	0.237895	1.324609	5.891161	-0.032867	1.560757	6.352655	-0.017035	-0.026271	-0.021249	-0.008494	-0.010641	1.051489	1.409583	-0.013344	-0.02605	-0.000588	-0.008209	-0.018804	-0.029427	1.901875	-0.014896	-0.020545	-0.017307	-0.00259	1.32335	-0.0093	0.240607	2.425936	-0.007389	-0.020843	-0.004555	2.460012	1.719887	-0.001832	-0.000047	-0.010924	-0.006929	-0.001626	-0.048112	0.041886	-0.003603	-0.001256	2.011129	1.303593	-0.007	-0.013052	-0.030018	-0.012807	1.775026	-0.00293	-0.008187	2.222954	-0.009036	0.274839	1.032709	1.818924	-0.016335	-0.00423	-0.037812	-0.02553	-0.006067	-0.005796	-0.032632	-0.002594	-0.007515	0.027883	-0.022297	-0.012158	-0.02431	2.858017	2.367614	0.074081	0.198834	-0.011523	0.955528	-0.008411	-0.011366	-0.008557	2.288538	-0.010488	-0.008106	-0.009157	-0.008126	1.75745	0.024945	-0.026213	6.458947	1.664996	2.405851	0.986759	-0.016887	IL	173
5V93_a:494-501_530-531	0.101665	-0.00246	-0.007285	-0.023508	-0.005792	-0.007279	0.218339	-0.012997	2.125593	-0.001633	-0.003049	-0.009618	0.436188	3.448396	-0.002742	-0.000532	1.828723	-0.019486	-0.003508	0.636523	-0.008785	0.007793	2.141568	-0.005828	0.076996	-0.008018	-0.009742	-0.009552	-0.008578	0.362338	1.832672	2.482407	-0.014592	0.333458	1.171725	-0.005751	0.588613	0.4904	-0.010368	-0.003777	1.258037	-0.024682	-0.005349	-0.011979	-0.016863	3.339561	-0.004036	-0.002122	0.413119	-0.016325	-0.017578	-0.010126	0.80692	-0.003539	2.054567	0.24083	0.908914	3.259167	-0.011116	-0.007262	0.690484	-0.026511	-0.002515	-0.01352	0.593161	-0.010543	-0.014095	-0.000425	-0.02004	0.953022	-0.011013	1.310574	1.180344	-0.022771	0.692152	1.375524	-0.008162	0.09252	1.641526	-0.002096	-0.008488	-0.001822	-0.005718	-0.02044	-0.001344	-0.026887	-0.01123	-0.030294	-0.001143	-0.011158	-0.002737	-0.013764	0.039387	-0.008006	-0.009233	-0.004761	2.062355	0.93192	-0.006712	1.013624	1.095675	-0.005554	2.164398	0.10284	-0.013153	0.555842	-0.006053	0.359474	0.761974	-0.011487	2.181114	-0.009079	2.796715	1.283909	-0.006477	0.189162	2.194531	-0.02393	-0.008492	-0.000578	-0.013971	-0.00947	0.2927	-0.009402	0.997666	-0.031988	-0.010503	-0.007655	IL	151
6HA1_A:1572-1575_1589-1593	-0.004792	0.616672	1.91067	-0.062071	-0.013315	1.061496	1.406642	0.184563	2.179131	-0.020855	-0.012028	-0.024686	-0.005155	3.335646	-0.009446	1.841662	0.427837	-0.022141	-0.017234	-0.011814	-0.001269	-0.014318	3.478599	1.399597	-0.007971	1.96994	2.072406	-0.040131	-0.024789	0.974409	2.788801	4.118251	-0.009062	2.563049	1.014936	-0.016372	-0.007575	-0.006425	-0.01511	-0.017701	3.603177	-0.004141	-0.040301	0.328957	-0.023534	4.944421	0.807895	-0.014496	-0.015134	-0.024372	0.319153	-0.005401	2.397864	0.299127	2.931113	0.182568	-0.019106	4.093692	-0.019507	-0.003475	0.334656	-0.031206	-0.019379	0.786644	-0.023386	-0.01879	-0.019488	-0.007769	-0.016205	-0.011615	0.303411	0.307181	1.045171	-0.023501	-0.002759	5.203006	-0.015753	-0.006676	0.733914	-0.001236	-0.023746	-0.025772	-0.020311	0.186857	-0.017594	-0.032783	-0.015402	-0.030091	-0.037784	0.295485	-0.006654	-0.012278	-0.000897	1.369948	0.179346	-0.005675	1.056299	2.456893	-0.000657	2.558628	-0.002333	-0.003958	3.360694	-0.008421	-0.030575	0.845926	-0.042669	-0.014479	-0.0101	-0.033154	2.349955	1.255607	2.955869	0.351488	0.797543	-0.012891	0.146021	-0.028543	-0.009201	-0.012148	-0.03091	-0.011183	0.261875	-0.042091	0.256613	-0.036128	-0.006196	-0.013235	IL	233
